sample,n,study,area.cov,tmb
TCGA-09-2054,185,TCGA,19412628,9.53
TCGA-61-2092,249,TCGA,43037186,5.79
TCGA-59-2352,165,TCGA,20854300,7.91
TCGA-25-2400,147,TCGA,25984858,5.66
TCGA-29-2425,297,TCGA,44282550,6.71
TCGA-25-2398,133,TCGA,23706727,5.61
TCGA-57-1994,140,TCGA,26824606,5.22
TCGA-24-2019,275,TCGA,65624164,4.19
TCGA-25-2409,346,TCGA,52199283,6.63
TCGA-25-2396,354,TCGA,43080603,8.22
TCGA-25-2397,132,TCGA,21130839,6.25
TCGA-57-1585,318,TCGA,56095356,5.67
TCGA-29-2414,412,TCGA,50574648,8.15
TCGA-25-2404,178,TCGA,26544446,6.71
TCGA-29-2427,430,TCGA,30649991,14.03
TCGA-23-1026,361,TCGA,36441400,9.91
TCGA-25-2393,486,TCGA,45138821,10.77
TCGA-61-2012,328,TCGA,42573258,7.7
TCGA-23-1029,327,TCGA,53806994,6.08
TCGA-30-1862,231,TCGA,51309163,4.5
TCGA-24-2297,274,TCGA,68836329,3.98
TCGA-24-2289,379,TCGA,56247141,6.74
TCGA-24-2290,91,TCGA,20903192,4.35
TCGA-61-2003,333,TCGA,56346337,5.91
TCGA-61-1998,298,TCGA,34039096,8.75
TCGA-24-2262,293,TCGA,42410861,6.91
TCGA-61-2000,145,TCGA,20792733,6.97
TCGA-24-2280,327,TCGA,57643604,5.67
TCGA-09-2045,134,TCGA,20215018,6.63
TCGA-24-2288,331,TCGA,47854255,6.92
TCGA-31-1956,313,TCGA,41089340,7.62
TCGA-24-2033,387,TCGA,42902932,9.02
TCGA-59-2354,320,TCGA,55201611,5.8
TCGA-04-1530,191,TCGA,21277114,8.98
TCGA-59-2348,283,TCGA,50412044,5.61
TCGA-59-2351,317,TCGA,46867083,6.76
TCGA-24-2298,340,TCGA,58968112,5.77
TCGA-13-0883,143,TCGA,23911830,5.98
TCGA-59-2350,196,TCGA,48693754,4.03
TCGA-13-0768,330,TCGA,40611506,8.13
TCGA-25-2399,321,TCGA,59156928,5.43
TCGA-04-1331,246,TCGA,58949064,4.17
TCGA-25-1631,237,TCGA,46954454,5.05
TCGA-25-2392,159,TCGA,29232853,5.44
TCGA-59-2355,276,TCGA,46510638,5.93
TCGA-13-0885,464,TCGA,31864633,14.56
TCGA-25-2401,275,TCGA,41466798,6.63
TCGA-61-2002,363,TCGA,51080138,7.11
TCGA-61-1724,298,TCGA,53110223,5.61
TCGA-09-2053,389,TCGA,23952545,16.24
TCGA-09-2044,196,TCGA,22435143,8.74
TCGA-13-2060,467,TCGA,45975830,10.16
TCGA-31-1950,342,TCGA,54402341,6.29
TCGA-61-2009,230,TCGA,19326250,11.9
TCGA-30-1891,781,TCGA,37553699,20.8
TCGA-30-1892,841,TCGA,28519788,29.49
TCGA-61-2094,299,TCGA,72381321,4.13
TCGA-30-1866,566,TCGA,31205845,18.14
TCGA-09-2056,288,TCGA,21078932,13.66
TCGA-24-2293,140,TCGA,33890819,4.13
TCGA-23-2077,365,TCGA,49994668,7.3
TCGA-61-2109,89,TCGA,23143904,3.85
TCGA-61-1728,324,TCGA,53428033,6.06
s_1118A,533,Mayo,44263155,12.04
s1133902435,723,Mayo,15271088,47.34
s1133902443,478,Mayo,16387785,29.17
s1133902451,652,Mayo,30400807,21.45
s1133902511,335,Mayo,14643373,22.88
s1133902528,711,Mayo,15542664,45.75
s1133902543,1332,Mayo,19659943,67.75
s1133902547,324,Mayo,7662856,42.28
s1133902555,323,Mayo,15207270,21.24
s1133902559,986,Mayo,27777069,35.5
s1133902571,1024,Mayo,11471102,89.27
s1133902600,2764,Mayo,31966168,86.47
s1133902631,1716,Mayo,9862396,173.99
s1133902639,297,Mayo,37533295,7.91
s1133902667,3786,Mayo,32917692,115.01
s1133902687,334,Mayo,12861891,25.97
s1133902692,1550,Mayo,31693896,48.91
s1133902703,803,Mayo,14531008,55.26
s1133902719,1008,Mayo,9378271,107.48
s1133902739,243,Mayo,9801903,24.79
s1133902743,445,Mayo,27395340,16.24
s1133902747,744,Mayo,8303043,89.61
s1133902751,831,Mayo,42208670,19.69
s1133902755,422,Mayo,12453313,33.89
s1133902759,247,Mayo,13120611,18.83
s1133902763,745,Mayo,15316222,48.64
s1133902767,1281,Mayo,17513665,73.14
s1133902772,519,Mayo,36831893,14.09
s1133902775,187,Mayo,489744,381.83
s1133902795,384,Mayo,14523503,26.44
s1133902803,1298,Mayo,13272359,97.8
s1133902807,1758,Mayo,20525300,85.65
s1133902823,811,Mayo,34649655,23.41
s1133902835,445,Mayo,13664665,32.57
s1133902839,525,Mayo,11246287,46.68
